commit,file,MI_Before,MI_After,CC_Before,CC_After,LOC_Before,LOC_After,MI_Change,CC_Change,LOC_Change,Semantic_Similarity,Token_Similarity
51043ad3dc2211445c749ae6cf08ba2deb609a02,.gitignore,,,,,,,,,,,
51043ad3dc2211445c749ae6cf08ba2deb609a02,libs/hub.js,,,,,,,,,,,
51043ad3dc2211445c749ae6cf08ba2deb609a02,libs/publisher.js,,,,,,,,,,,
51043ad3dc2211445c749ae6cf08ba2deb609a02,libs/subscriber.js,,,,,,,,,,,
51043ad3dc2211445c749ae6cf08ba2deb609a02,libs/transport.js,,,,,,,,,,,
51043ad3dc2211445c749ae6cf08ba2deb609a02,main.js,,,,,,,,,,,
51043ad3dc2211445c749ae6cf08ba2deb609a02,package.json,,100.0,,0.0,,16.0,,,,,
79738dc1955557db2162ac5f18d7639a642c3f11,package.json,100.0,100.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.9983823299407951,0.9316103763537941
8cd2a6c71aff5b13d29fbc75c8ab8d67724be0fc,libs/subscriber.js,,,,,,,,,,1.0,0.9592333930731771
8cd2a6c71aff5b13d29fbc75c8ab8d67724be0fc,main.js,,,,,,,,,,1.000000119209289,0.9148919508895471
a5bfbb9afdc4000f2e25b6dc8f488f6d902494f0,libs/agent.js,,,,,,,,,,,
a5bfbb9afdc4000f2e25b6dc8f488f6d902494f0,main.js,,,,,,,,,,0.9331860542297361,0.000110326552297
d8909b0bbde1b81dbd0e5824ffaf7a3d6ec3cb22,libs/agent.js,,,,,,,,,,0.9999998807907101,0.7949394604844151
d8909b0bbde1b81dbd0e5824ffaf7a3d6ec3cb22,libs/publisher.js,,,,,,,,,,0.9961752891540521,0.45417685606567004
d8909b0bbde1b81dbd0e5824ffaf7a3d6ec3cb22,libs/receiver.js,,,,,,,,,,,
d8909b0bbde1b81dbd0e5824ffaf7a3d6ec3cb22,libs/sender.js,,,,,,,,,,,
d8909b0bbde1b81dbd0e5824ffaf7a3d6ec3cb22,libs/subscriber.js,,,,,,,,,,0.9449879527091981,0.000176833456324
29c47621a1a728d607e94dd9e85eb2d35f851d88,libs/agent.js,,,,,,,,,,0.999974012374877,0.9902395736995231
c32c31a7270da906e514b8f3ae7a1fb144265087,libs/agent.js,,,,,,,,,,0.9997582435607911,0.9551393848435341
c32c31a7270da906e514b8f3ae7a1fb144265087,libs/hub.js,,,,,,,,,,0.9999999403953551,0.930810104807924
c32c31a7270da906e514b8f3ae7a1fb144265087,libs/monitor.js,,,,,,,,,,,
c32c31a7270da906e514b8f3ae7a1fb144265087,libs/publisher.js,,,,,,,,,,0.9987195730209351,0.812193379582245
c32c31a7270da906e514b8f3ae7a1fb144265087,libs/receiver.js,,,,,,,,,,0.9999998807907101,0.985294368235868
c32c31a7270da906e514b8f3ae7a1fb144265087,libs/sender.js,,,,,,,,,,0.9981495141983031,0.8688589397154921
c32c31a7270da906e514b8f3ae7a1fb144265087,libs/subscriber.js,,,,,,,,,,0.99953269958496,0.8410117837676581
c32c31a7270da906e514b8f3ae7a1fb144265087,libs/transport.js,,,,,,,,,,0.9993045330047601,0.8502033062474661
c32c31a7270da906e514b8f3ae7a1fb144265087,main.js,,,,,,,,,,0.9973757863044731,0.64954196842122
c32c31a7270da906e514b8f3ae7a1fb144265087,package.json,100.0,100.0,0.0,0.0,16.0,19.0,0.0,0.0,3.0,0.994746923446655,0.80846720196545
67bfc0bd7699ddacff7793b509fa5a234a923ef3,libs/transport.js,,,,,,,,,,0.9978002905845641,0.648788171951268
4f7f3035272ebc1d862e34783af13aa8e63925e7,libs/transport.js,,,,,,,,,,0.999981999397277,0.797988198215926
b01e68422400ed98c48fcb55ad0f60905909140b,libs/receiver.js,,,,,,,,,,0.9999998807907101,0.9955416488284801
f43155a4f50587c6836a29d5d3df747dec5f9d48,libs/agent.js,,,,,,,,,,0.9999999403953551,0.939360155997477
f43155a4f50587c6836a29d5d3df747dec5f9d48,libs/publisher.js,,,,,,,,,,0.9932831525802611,0.7221020611394601
f43155a4f50587c6836a29d5d3df747dec5f9d48,libs/receiver.js,,,,,,,,,,0.9999998807907101,0.9811859718730761
f43155a4f50587c6836a29d5d3df747dec5f9d48,libs/sender.js,,,,,,,,,,0.998370707035064,0.8403713976000561
f43155a4f50587c6836a29d5d3df747dec5f9d48,libs/subscriber.js,,,,,,,,,,0.9923292398452751,0.6904500613266631
