CWE_ID,Number_of_Findings
CWE-020,11
CWE-022,4
CWE-023,4
CWE-036,4
CWE-073,4
CWE-190,4
CWE-197,3
CWE-835,1
CWE-681,2
CWE-789,1
CWE-367,1
CWE-732,3
