CWE_ID,Number_of_Findings
CWE-020,13
CWE-022,15
CWE-023,15
CWE-036,15
CWE-073,15
CWE-114,1
CWE-129,2
CWE-190,38
CWE-191,25
CWE-197,13
CWE-681,13
CWE-468,14
CWE-570,3
CWE-252,3
CWE-755,3
CWE-676,2
