File,Line,Severity,ID,Message,Verbose,CWE,Column,Info,Symbol
winget-cli/tools/CorrelationTestbed/InstallAndCheckCorrelation/InstallAndCheckCorrelation/InstallAndCheckCorrelation.cpp,168,warning,literalWithCharPtrCompare,String literal compared with variable 'argv[i]'. Did you intend to use strcmp() instead?,String literal compared with variable 'argv[i]'. Did you intend to use strcmp() instead?,595,31,,argv[i]
winget-cli/tools/CorrelationTestbed/InstallAndCheckCorrelation/InstallAndCheckCorrelation/InstallAndCheckCorrelation.cpp,172,warning,literalWithCharPtrCompare,String literal compared with variable 'argv[i]'. Did you intend to use strcmp() instead?,String literal compared with variable 'argv[i]'. Did you intend to use strcmp() instead?,595,31,,argv[i]
winget-cli/tools/CorrelationTestbed/InstallAndCheckCorrelation/InstallAndCheckCorrelation/InstallAndCheckCorrelation.cpp,176,warning,literalWithCharPtrCompare,String literal compared with variable 'argv[i]'. Did you intend to use strcmp() instead?,String literal compared with variable 'argv[i]'. Did you intend to use strcmp() instead?,595,32,,argv[i]
winget-cli/tools/CorrelationTestbed/InstallAndCheckCorrelation/InstallAndCheckCorrelation/InstallAndCheckCorrelation.cpp,181,warning,literalWithCharPtrCompare,String literal compared with variable 'argv[i]'. Did you intend to use strcmp() instead?,String literal compared with variable 'argv[i]'. Did you intend to use strcmp() instead?,595,33,,argv[i]
winget-cli/tools/CorrelationTestbed/InstallAndCheckCorrelation/InstallAndCheckCorrelation/InstallAndCheckCorrelation.cpp,185,warning,literalWithCharPtrCompare,String literal compared with variable 'argv[i]'. Did you intend to use strcmp() instead?,String literal compared with variable 'argv[i]'. Did you intend to use strcmp() instead?,595,31,,argv[i]
winget-cli/tools/CorrelationTestbed/InstallAndCheckCorrelation/InstallAndCheckCorrelation/InstallAndCheckCorrelation.cpp,189,warning,literalWithCharPtrCompare,String literal compared with variable 'argv[i]'. Did you intend to use strcmp() instead?,String literal compared with variable 'argv[i]'. Did you intend to use strcmp() instead?,595,31,,argv[i]
winget-cli/tools/SampleWinGetUWPCaller/AppInstallerCaller/pch.h,4,information,missingIncludeSystem,Include file: <windows.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <windows.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
winget-cli/tools/SampleWinGetUWPCaller/AppInstallerCaller/pch.h,5,information,missingIncludeSystem,Include file: <unknwn.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <unknwn.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
winget-cli/tools/SampleWinGetUWPCaller/AppInstallerCaller/pch.h,6,information,missingIncludeSystem,Include file: <hstring.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <hstring.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
winget-cli/tools/SampleWinGetUWPCaller/AppInstallerCaller/pch.h,7,information,missingIncludeSystem,Include file: <winrt/Windows.Foundation.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <winrt/Windows.Foundation.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
